"CleanedResort","OriginalResort"
"Mitterdorf-Almberg- Mitterfirmiansreut","Mitterdorf-Almberg- Mitterfirmiansreut"
"Lavarone","Lavarone"
"Bolton Valley","Bolton Valley"
"Geikopf-Bischofsmais","Geikopf-Bischofsmais"
"Donovaly-Park Snow-","Donovaly-Park Snow-"
"Kobla-Bohinj","Kobla-Bohinj"
"Sudelfeld-Bayrischzell","Sudelfeld-Bayrischzell"
"Gruntenlifte-Kranzegg-Rettenberg-","Gruntenlifte-Kranzegg-Rettenberg-"
"Grebenzen-St Lambrecht","Grebenzen-St Lambrecht"
"Kirchdorf","Kirchdorf"
"Nebelhorn-Oberstdorf","Nebelhorn-Oberstdorf"
"Lachtal","Lachtal"
"Ramsau am Dachstein-Rittisberg","Ramsau am Dachstein-Rittisberg"
"Burchen-Torbel-Moosalp","Burchen-Torbel-Moosalp"
"Guzet","Guzet"
"Montage Mountain Resort","Montage Mountain Resort"
"Schetteregg-Egg","Schetteregg-Egg"
"Fichtelberg-Oberwiesenthal","Fichtelberg-Oberwiesenthal"
"Bellwald","Bellwald"
"Klewenalp-Stockhutte-Beckenried-Emmetten","Klewenalp-Stockhutte-Beckenried-Emmetten"
"Schoneck-Skiwelt-","Schoneck-Skiwelt-"
"Biaka Tatrzanska-Kotelnica-Kaniowka-Bania","Biaka Tatrzanska-Kotelnica-Kaniowka-Bania"
"Strbske Pleso","Strbske Pleso"
"Gaissau-Hintersee","Gaissau-Hintersee"
"Sandia Peak","Sandia Peak"
"Kellerjoch-Schwaz","Kellerjoch-Schwaz"
"Aillons-Margeriaz","Aillons-Margeriaz"
"Hochrindl-Sirnitz","Hochrindl-Sirnitz"
"La Bresse-Hohneck","La Bresse-Hohneck"
"Silbersattel-Steinach","Silbersattel-Steinach"
"Gornaya Karusel","Gornaya Karusel"
"Lammeralm-Langenwang","Lammeralm-Langenwang"
"Kitzbuheler Horn","Kitzbuheler Horn"
"Myrkdalen","Myrkdalen"
"Shymbulak-Chimbulak-","Shymbulak-Chimbulak-"
"Loser-Altaussee","Loser-Altaussee"
"Christlum-Achenkirch","Christlum-Achenkirch"
"Grasgehren-Bolgengrat","Grasgehren-Bolgengrat"
"Crystal Mountain-WA-","Crystal Mountain-WA-"
"Gotschen-Bischofswiesen","Gotschen-Bischofswiesen"
"Torrent-Leukerbad","Torrent-Leukerbad"
"Monte Popolo-Eben im Pongau","Monte Popolo-Eben im Pongau"
"Sun Mountain-Yabuli","Sun Mountain-Yabuli"
